iter	Logloss
0	0.6262156517
1	0.5864897282
2	0.5478714217
3	0.5161662766
4	0.481892709
5	0.4656459044
6	0.4485452486
7	0.4393246618
8	0.4306271206
9	0.4209877699
10	0.4070304214
11	0.4025849552
12	0.3928177395
13	0.379825607
14	0.3793299375
15	0.3729564533
16	0.3613748748
17	0.3581171664
18	0.3552823446
19	0.3501221827
20	0.3446190675
21	0.3442109761
22	0.3436513387
23	0.3347619605
24	0.329221691
25	0.3238535988
26	0.3181442266
27	0.3135185853
28	0.3062152145
29	0.3056185661
30	0.304686767
31	0.3046864243
32	0.2989218189
33	0.281894576
34	0.2811770038
35	0.2764558975
36	0.2757869974
37	0.2744981795
38	0.2744945261
39	0.2728583539
40	0.2702314135
41	0.2665437046
42	0.2630339231
43	0.2626062895
44	0.2623029681
45	0.2601045852
46	0.2554970708
47	0.2527979509
48	0.2513586198
49	0.2489203053
50	0.2472296751
51	0.2444143146
52	0.2442896635
53	0.2433171061
54	0.2412893545
55	0.2412882855
56	0.2407978757
57	0.2374696953
58	0.2343712429
59	0.2331099407
60	0.2301962102
61	0.2301935852
62	0.2253273534
63	0.2239695537
64	0.2238266371
65	0.2225629501
66	0.2196040634
67	0.2181901044
68	0.2181889637
69	0.21758473
70	0.2153711207
71	0.2153123168
72	0.2092615001
73	0.208214851
74	0.2049824391
75	0.2028127087
76	0.1994625196
77	0.1978706795
78	0.1955891617
79	0.1943167252
80	0.1930789816
81	0.1901302281
82	0.1875199699
83	0.1796896311
84	0.1790043995
85	0.178273356
86	0.1763057331
87	0.174241767
88	0.1726586665
89	0.1695497838
90	0.1670630892
91	0.164327859
92	0.162594949
93	0.1608025021
94	0.1590148831
95	0.1570836101
96	0.154448023
97	0.1534045008
98	0.1507150149
99	0.1488439597
